secid,date,rv_raw,rv_ann,rv_d,rv_w,rv_m,rv_target,estimator,log_rv
GLDRUB_TOM,2018-06-26,1.754148355849879e-06,0.021024875402108085,-13.713125030653703,-13.421392245883236,-12.55564675925212,-13.253527086148743,garman_klass,True
GLDRUB_TOM,2018-06-27,1.713865057440612e-05,0.06571864229235372,-13.253527086148743,-13.985956055472059,-12.555077239311526,-10.974174377508557,garman_klass,True
GLDRUB_TOM,2018-06-28,4.687491881738736e-07,0.010868523148055404,-10.974174377508557,-13.332118972072612,-12.555514354409961,-14.573197991559027,garman_klass,True
GLDRUB_TOM,2018-06-29,8.862399747211025e-06,0.04725806530421213,-14.573197991559027,-13.712209287852506,-12.59230019699436,-11.633692978191332,garman_klass,True
GLDRUB_TOM,2018-07-02,6.431903075927486e-06,0.04025965194998246,-11.633692978191332,-12.829543492812272,-12.656363897580375,-11.954240095242273,garman_klass,True
GLDRUB_TOM,2018-07-03,7.111821078548644e-06,0.042334134121229626,-11.954240095242273,-12.477766505729987,-12.651993983390565,-11.853752217753517,garman_klass,True
GLDRUB_TOM,2018-07-04,5.258923865761489e-06,0.03640396701146587,-11.853752217753517,-12.197811532050942,-12.654522429924727,-12.15558414040396,garman_klass,True
GLDRUB_TOM,2018-07-05,6.314923689485779e-07,0.012614914861981496,-12.15558414040396,-12.434093484630022,-12.39823885656412,-14.275179979237464,garman_klass,True
GLDRUB_TOM,2018-07-06,1.1735791949896343e-06,0.01719714968061242,-14.275179979237464,-12.374489882165708,-12.45211859988553,-13.655452337788718,garman_klass,True
GLDRUB_TOM,2018-07-09,1.113008188521545e-05,0.05296017971149922,-13.655452337788718,-12.778841754085187,-12.55101370280907,-11.40585903554167,garman_klass,True
GLDRUB_TOM,2018-07-10,6.864274923295816e-06,0.04159083169005575,-11.40585903554167,-12.669165542145066,-12.553428746462522,-11.889180143652998,garman_klass,True
GLDRUB_TOM,2018-07-11,9.012838764930955e-06,0.047657479672792186,-11.889180143652998,-12.676251127324964,-12.494492833073132,-11.616860467717776,garman_klass,True
GLDRUB_TOM,2018-07-12,8.741381347816215e-06,0.04693429555932086,-11.616860467717776,-12.568506392787725,-12.547885918271135,-11.647442331836025,garman_klass,True
GLDRUB_TOM,2018-07-13,4.795616808111921e-07,0.010993158943835043,-11.647442331836025,-12.042958863307438,-12.473500061591091,-14.55039331521029,garman_klass,True
GLDRUB_TOM,2018-07-16,1.1784466895423983e-06,0.017232775915814735,-14.55039331521029,-12.221947058791752,-12.566791289785202,-13.651313351450506,garman_klass,True
